"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Original 112",0.0826651812825929,0.568453909744608,0.932741044951754,0.0723207594254819,0,"F",0,1,4,"N",4.75,"No Breakfast"
"Original 113",0.230284848360743,0.0802214728154993,0.874996899856405,0.490229532247461,0,"M",0,1,5,"N",6.75,"No Breakfast"
"Original 114",0.243946385602297,0.129749526206981,0.548770521746562,0.608329532114216,0,"F",0,1,5,"N",6.75,"No Breakfast"
"Original 115",0.94146573405964,0.203931831080754,0.356100835756239,0.676358959794598,0,"M",0,0,10,"N",6.75,"No Breakfast"
"Original 116",0.905043140420075,0.0542066519843642,0.195847405536695,0.965100832122852,0,"F",0,1,7,"N",6.75,"No Breakfast"
"Original 117",0.534946336339011,0.272178527292016,0.348163470714662,0.787077916799356,0,"M",0,1,8,"N",6.75,"No Breakfast"
"Original 118",0.217494601918397,0.426783305157037,0.0772211697799675,0.24585321592496,0,"M",0,0,9,"N",6.75,"No Breakfast"
"Original 119",0.253677542071115,0.364507324416292,0.153481856259218,0.391072217927336,0,"F",0,0,3,"N",6.75,"No Breakfast"
"Original 12",0.908369610405985,0.0467862111630088,0.939354596471651,0.976585615857935,1,"F",1,1,2,"Y",3.5,"Breakfast"
"Original 120",0.0963833142493882,0.373468568480523,0.6602813092569,0.0987765801983098,0,"M",0,1,7,"N",6.75,"No Breakfast"
"Original 121",0.921491371122564,0.0398969404693321,0.990935034705121,0.982491188063361,0,"F",0,1,3,"N",5,"No Breakfast"
"Original 122",0.47226688185462,0.0798875084780903,0.831012226164951,0.657078231829171,0,"F",0,1,9,"N",5,"No Breakfast"
"Original 123",0.375765919099436,0.123607227326579,0.930529050018728,0.529452908885497,0,"F",0,0,3,"N",5,"No Breakfast"
"Original 124",0.0817478409476012,0.0547590795170572,0.987407917318719,0.726986950214278,0,"M",0,1,5,"N",5,"No Breakfast"
"Original 125",0.919659003099117,0.059185493241758,0.0700222287442484,0.970194394971719,1,"M",1,1,6,"N",4.25,"Breakfast"
"Original 126",0.938703909383142,0.115373978548989,0.89772014848028,0.940458060301683,1,"M",1,1,2,"N",4.25,"Breakfast"
"Original 127",0.907440353981305,0.0499393968316815,0.053868764098171,0.972050389286963,1,"M",0,1,8,"N",4.25,"Breakfast"
"Original 128",0.205717052922525,0.151808562488026,0.454570349232157,0.503460762719164,1,"M",1,0,1,"N",4.25,"Breakfast"
"Original 129",0.864490778370545,0.0467191574691602,0.993056665889212,0.974748666268414,1,"F",1,0,3,"N",3.5,"Breakfast"
"Original 13",0.713974776791794,0.0585456491515307,0.215320075557454,0.975715214920623,1,"F",1,1,1,"Y",2,"Breakfast"
"Original 130",0.922430344188869,0.0812490435050547,0.554772481141309,0.775369536316841,1,"F",1,0,4,"N",3.5,"Breakfast"
"Original 131",0.0818374745381472,0.431785376877469,0.931105057228116,0.0725434355886347,1,"M",0,0,3,"N",3.5,"Breakfast"
"Original 132",0.856543707993541,0.0584401170339037,0.723404007470579,0.961179851791923,1,"F",0,0,4,"N",3.5,"Breakfast"
"Original 14",0.940128919111187,0.0517813534987103,0.68279341724881,0.988202676489489,1,"F",1,1,3,"Y",2,"Breakfast"
"Original 15",0.0782675748933597,0.885604600900685,0.14818212885245,0.175165877819427,1,"M",0,1,3,"Y",2,"Breakfast"
"Original 16",0.960082073312496,0.164437328007405,0.633752740689228,0.55838339707782,1,"F",1,1,1,"Y",2,"Breakfast"
"Original 17",0.176100469843512,0.257438603465001,0.448432590631865,0.295536131958183,0,"F",0,1,7,"Y",5,"No Breakfast"
"Original 18",0.330404661178903,0.285324083911087,0.101231580446837,0.2248292314499,0,"F",0,1,3,"Y",5,"No Breakfast"
"Original 19",0.404642269669804,0.0673037823020767,0.585032954682608,0.924557274330857,0,"F",0,1,5,"Y",5,"No Breakfast"
